STATUS | wrapper  | 2024/11/22 14:33:19 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 14:34:39 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 14:34:39 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 14:34:39 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 14:34:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 14:34:39 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 14:34:39 | 
STATUS | wrapper  | 2024/11/22 14:34:39 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 14:34:39 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/11/22 14:34:42 | Starting Server from location: C:\Users\praveen-22566\Desktop\MickeyShopProject\AdventNetMickeyLite\AdventNet\MickeyLite
INFO   | jvm 1    | 2024/11/22 14:34:42 | Free edition...
INFO   | jvm 1    | 2024/11/22 14:34:42 | 
INFO   | jvm 1    | 2024/11/22 14:34:47 | Modules already Populated
INFO   | jvm 1    | 2024/11/22 14:34:47 | 
INFO   | jvm 1    | 2024/11/22 14:34:47 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | onlineshop_data_dictionary                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | 
INFO   | jvm 1    | 2024/11/22 14:34:47 | Creating Services
INFO   | jvm 1    | 2024/11/22 14:34:47 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | PatchUpdaterService                               [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | WebService                                        [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:34:47 | 
INFO   | jvm 1    | 2024/11/22 14:34:47 | Starting Services
INFO   | jvm 1    | 2024/11/22 14:34:47 | CacheService                                      [ STARTED ]
